EventID,DecodedID,EventName,DateTime
Za5ju3rKuqZDe332fTZJu5kFT6ot1W43Re,R250406,The Toki Row Pass - Nets vs.Toronto Raptors,2025-04-06T19:30:00Z
1k7Zv-a6GAC-YyN,R250409,GREATEST OF ALL TORONTO NIGHT | Toronto Raptors v Charlotte Hornets,2025-04-09T23:30:00Z
Za5ju3rKuqZB22c3-sGs5TIeHKTQnxSS8,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09T23:30:00Z
Za5ju3rKuqZBbtpFlTX41wF3xx6IgW1nb,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09T23:30:00Z
Za5ju3rKuqZBnaB9_91oA8tzZLNP-MZiC,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09T23:30:00Z
Za5ju3rKuqZDere6hn--AZ0BRAdXdxijXp,R250409,Toronto Raptors vs Charlotte Hornets,2025-04-09T23:30:00Z
Za5ju3rKuqZDdoQcpuwevv0D2Oti2SLqT_,R250412,Dallas Mavericks vs Toronto Raptors,2025-04-12T00:30:00Z
Za5ju3rKuqZDvTS1vClZoumFlXu0CTgk3Z,R250412,SUITES: Dallas Mavericks vs Toronto Raptors,2025-04-12T00:30:00Z
vvG1YZb8Xg63rq,R250412,Dallas Mavericks vs. Toronto Raptors,2025-04-12T00:30:00Z
G5dIZb8wjs3GD,R250413,San Antonio Spurs vs. Toronto Raptors,2025-04-13T19:30:00Z
Za5ju3rKuqZDdw2y5KmIqFU5LShPId1HO1,R250413,Frost Club Pass- Toronto Raptors,2025-04-13T19:30:00Z
Za5ju3rKuqZDvPpzFjT_-Zl1W0WD8jfPFy,R250413,Toronto Raptors  Visiting Guest Passes,2025-04-13T19:30:00Z
Za5ju3rKuqZDd9sP5dLkPFFbfMIQiBcEhL,R250602,Toronto Raptors TEST,2025-06-02T00:00:00Z
